n,m,c,D,d,k,index_in_list
1,2,2,2,1,1,0
2,4,4,2,1,1,0
3,6,10,2,1,1,0
4,8,28,2,1,1,0
5,10,82,2,1,1,0
6,12,244,2,1,1,0
7,14,730,2,1,1,0
8,16,2188,2,1,1,0
9,18,6562,2,1,1,0
10,20,19684,2,1,1,0
11,22,122832,4,1,2,6
12,24,297205,4,1,2,6
13,26,790957,4,1,2,6
14,28,1594324,9,8,1,1
15,30,4782970,9,8,1,4
16,32,14348908,9,8,1,5
17,34,43046722,10,9,1,5
18,36,129140164,10,9,1,6
19,38,387420490,10,9,1,8
20,40,1162261468,11,10,1,14
21,42,3486784402,11,10,1,18
22,44,10460353204,11,10,1,18
23,46,31381060185,12,10,1,21
24,48,94143179452,12,10,1,28
25,50,282429537157,12,10,1,36
26,52,847288752327,13,10,1,44
27,54,2541865993165,13,10,1,44
28,56,7476739407721,7,1,4,47
29,58,17704764641088,7,1,4,52
30,60,46423403859600,7,1,4,63
31,62,129907728055216,7,1,4,74
32,64,376766104072977,7,1,4,80
33,66,1112550672335728,7,1,4,80
34,68,3135825578697300,8,1,5,77
35,70,9908367173995248,7,1,4,109
36,72,29681968276634665,7,1,4,130
37,74,88988879779186624,7,1,4,136
38,76,266891821544770704,7,1,4,136
39,78,690493814748702625,9,1,5,134
40,80,1635787235980111396,9,1,5,150
41,82,4289812386346182925,9,1,5,175
42,84,12001573333829636100,9,1,5,197
43,86,34794955650703154625,9,1,5,202
44,88,101340248436317607300,8,2,9,200
45,90,266193112760216344528,10,1,6,204
46,92,606885048315706160872,10,1,6,224
47,94,1549347953498956066608,10,1,6,255
48,96,4266895781982891812749,10,1,6,275
49,98,12269017531396989155797,10,1,6,283
50,100,36070450102004430928932,10,1,6,283
51,102,111089338773852565200151,10,2,10,319
52,104,332000343355848660795346,10,2,10,373
53,106,994309116773181922405836,10,2,10,408
54,108,2962868646690625187336221,11,1,6,408
55,110,8740384095734877493577232,11,1,6,408
56,112,21591961336992145592947588,12,1,7,428
57,114,49077009441193708604173426,12,1,7,457
58,116,125001781290076018519740052,12,1,7,536
59,118,343716176756327032329225778,12,1,7,525
60,120,987359656803424520794980291,12,1,7,537
61,122,2901136905777484195633635145,12,1,7,544
62,124,7685309822198194353031353477,13,2,12,575
63,126,17716358209646758363375717564,13,2,12,613
64,128,45690532719696455885795332885,13,2,12,686
65,130,126709716820681898477128818576,13,2,12,689
66,132,365809399307688979997364685221,13,2,12,689
67,134,1077739542747157657970475742572,13,2,12,712
68,136,3206281665360948791166908772948,13,2,12,797
69,138,9582167609881854526122213981196,13,2,12,912
70,140,26589016615321017274614886786176,14,1,8,904
71,142,86023319065784119070851494410028,13,2,12,928
72,144,257979870644598729024876978768360,13,2,12,974
73,146,596665334983318671521930221842057,15,2,13,992
74,148,1395747340477561212711661227989979,15,2,13,1070
75,150,3635166163937715165171778439267025,15,2,13,1121
76,152,10135966925674458335995978024556163,15,2,13,1134
77,154,29340059427921848936211737862587802,15,2,13,1168
78,156,86544842092031845470618419727018484,15,2,13,1207
79,158,239200477393127864737275912019628025,16,3,18,1282
80,160,598035163810799654212816829561479956,16,3,18,1394
81,162,1628198413585083915620178622997891764,16,3,18,1397
82,164,4655378570752114896500225104905773344,16,3,18,1428
83,166,13650780384960319342706540478312824496,16,3,18,1447
84,168,40520252635062049356279063520334429025,16,3,18,1534
85,170,108157238206958953115866927404608327775,17,2,14,1726
86,172,283698619815726825352605826720523356050,17,2,14,1757
87,174,794129763118432685906673002715997518675,17,2,14,1771
88,176,1542638827130675995453543286255980154325,17,3,19,1735
89,178,4519086300188489450147195836800087618600,17,3,19,1738
90,180,13407899676331268450700488752315027188925,17,3,19,1852
91,182,35129663170837662660197452661883644568036,18,2,15,2073
92,184,91162074848874344185459840851725027152425,18,2,15,2086
93,186,253608654492753567095003954301989435613825,18,2,15,2096
94,188,733154191233503675637060720792922649414400,18,2,15,2103
95,190,2161077246520070026889948287948140973490496,18,2,15,2183
96,192,6155123070452927402540161119393794752423200,19,3,20,2507
97,194,15519750998491130673376063297632371906084400,19,3,20,2505
98,196,42458310488184692989517584517881886868392400,19,3,20,2528
99,198,121685608625459995004169090223552743376455600,19,3,20,2529
100,200,357191105021568956866666571094552839343739809,19,3,20,2580
101,202,1060735343974646248095336081510584593625676400,19,3,20,2768
102,204,2636699270208867285982735749389560432124628580,20,2,16,2979
103,206,6877260328459620158780612931244152512532950148,20,2,16,2983
104,208,19186504337125810455325750752804961352310887937,20,2,16,3003
105,210,55543636256247374156247659921564107383270204793,20,2,16,3043
106,212,163828074722967183915813071320625503854126391329,20,2,16,3167
107,214,341053358422677941532554360237200033537507857114,20,3,21,3239
108,216,1018109057820702145275565748438551589590531385667,20,3,21,3508
109,218,3047404134134270542396741960128607844788932434601,20,3,21,3540
110,220,9132751994368878687477483515711695133372173632603,20,3,21,3586
111,222,27385366305182000340734255661402902540756262279409,20,3,21,3664
112,224,61415689421974276169504443383202453277811092081229,21,4,26,3721
113,226,151378708612625186713698193102505739264818245638372,22,3,22,4072
114,228,383181823855034818003653801427664502040339199447616,22,3,22,4070
115,230,1050557944815274792585378747296436541892668615744448,22,3,22,4106
116,232,3013987047372126344045437785889774084880748069346944,22,3,22,4121
117,234,8851003856666781488874389279148795480727209198143232,22,3,22,4187
118,236,26288932519179863180273861672124874003769077661506896,22,3,22,4756
119,238,71575673819563086012790511228918386851808580777142525,23,4,27,4769
120,240,194402732141961620377453644477390773383384507425489675,23,4,27,4779
121,242,555002004716464313881001299908852388628910721128801825,23,4,27,4793
122,244,1593587252393368542493717589834628269747327140308658275,22,4,27,4851
123,246,4255009929587582291117917307555807201575531971243396075,24,4,28,5031
124,248,9300984184788787118323870415206659946698776565971688225,24,4,28,5418
125,250,23067039106433977590326775942079967747192625463502215491,24,4,28,5408
126,252,62468868393171945282513545960335122021656487773647754025,24,4,28,5450
127,254,178060132157688439818036764975985858293815804770929322075,24,4,28,5490
128,256,521239627578161852503857507810610817142243659258371568325,24,4,28,5539
129,258,1545849254706778250134968944271756770457836460618766357575,24,4,28,5898
130,260,4487539095099490530764029590671719743654423918334120930851,25,5,33,6216
131,262,12070696391905010935237744993859795877324964360128167338185,25,5,33,6290
132,264,34283070141865604736417675176094852108863353679507821301412,25,5,33,6332
133,266,100182932419253496015584954798201464876053931533937141912209,25,5,33,6362
134,268,296873107519647818778852179102968553755183586715722056353927,25,5,33,6631
135,270,698085425748777549542357501241520692501092313311965109705536,26,4,29,7083
136,272,1752809211780329875424328513866812897146238786193017998029904,26,4,29,7113
137,274,4782368189365408570309608065723724803533282173755834233249104,26,4,29,7148
138,276,13685027796839708076066403336477535104745353817844733013614336,26,4,29,7153
139,278,32295563231287601670882764460842744320099354960037408477287677,26,5,34,7159
140,280,95678604542591081758462932896051670891718222975453057954886472,26,5,34,7485
141,282,222472827817292136120534016445781774175857693915849229364396224,27,4,30,7950
142,284,555463098515449658791736520813115162265184917291026704739360576,27,4,30,7936
143,286,1510292295691913547064830214958477220439426305366129209458820800,27,4,30,7987
144,288,4313754609828188412515775504531222032951802004428141244787445700,27,4,30,8076
145,290,12639971111288060445388053142527054337331740724650758407739348736,27,4,30,8170
146,292,37502793159204189705800745570038657515980696955740183692020699984,27,4,30,8979
147,294,110717620650303388196806709522687154434152354602583886275222104109,28,5,35,9017
148,296,300000367042046708011220762855632944399729244442872120162517384827,28,5,35,9097
149,298,855344421155084576486653511962612922158569075053799813022777994481,28,5,35,9147
150,300,2452613905580982342993012526363122631212885071204187507801890665747,27,5,35,9220
151,302,7355929378044761924647685264770802449751096121951840739411270033465,27,5,35,10138
152,304,18265031861499062359054886691165059281956947253139959996357627156000,28,6,40,10166
153,306,49443294778670323957926770320598534671816416148003059933868422790768,29,3,26,10162
154,308,113844111865435411578652823661983715758075070104304425812436148825552,29,4,31,10145
155,310,271804317580487980159032617753134813206734961612994593745886586224832,29,5,36,10131
156,312,795249215529626621154218327846817325351293768751962734110960692840064,29,5,36,10234
157,314,2357859680597674815782511232957710682044446503088936876567944875590592,29,5,36,10310
158,316,7035091308598179078626862378516119971032787127567978830955908706088576,29,5,36,10360
159,318,21052271074493516641212440471480007903983778602413314717145494454107328,29,5,36,10408
160,320,63083975047179749000721542466138590217737316697410012895931363052734073,29,5,36,10478
161,322,189152037179945939735916427744716898364744346210592965535994205164115876,29,5,36,10562
162,324,473100960096166193642826876113349719995130066165297832037526644524802708,29,6,41,10560
163,326,1419127923292522184723942977460510263784666813037156686794754737457288049,29,6,41,10622
164,328,4257145994139065894663677838479297327802677080598620603137538445786833747,29,6,41,10679
165,330,12771115485318645122140964824788723924109068915459005849563499077591707385,29,6,41,10774
166,332,38312909923166587057520655935744628808713961243880108705927393037702225387,29,6,41,10854
167,334,114938140042139832985788338829916007988751603712575796801945709799773742785,29,6,41,10900
168,336,344813624994079117290915087897473388094021656490612618841211886120008152707,29,6,41,10945
169,338,1034438955998128382173155780050231884230590143303029923208185050338588808546,28,6,41,11048
170,340,3103316840963306476970588320721467465090229678053601883087767656417379234079,28,6,41,11130
171,342,9309950487078505230699663225072838100951716464721791049312395686529826779970,28,6,41,11163
172,344,27929851413876842568010847598241415532359227816396240078875148726234236931267,28,6,41,11190
173,346,70341456087251532081020035493517803520297980924862058959523550389016173612800,29,7,46,11228
174,348,211024364082328617727092589350099766173174645208123347849136032652007949409600,29,7,46,11262
175,350,633073086703321927317827452181840576154745257602264946152163484708013869634304,29,7,46,11345
176,352,1899219247100665593773332871178384904423574232883307586907347374461920236545089,28,7,46,11371
177,354,5697657741137645928260940425398388788862096846062939982923400766334588048909225,28,7,46,11476
178,356,17092973223198644267874538157261137883929487044969937578177418047874200706026825,28,7,46,11569
179,358,51278919669316988845368340242233509035641473009546623930475390659988641027669825,28,7,46,11604
180,360,153836759007588469544670218352365624002346449354820220508094615159408939031264784,28,7,46,11638
181,362,338116394344203252162227636243941196685641028845182483812278857488003797628235200,29,4,32,11618
182,364,855080482822537860062682549149839393528772811462975574748976626609009779955411772,29,5,37,11621
183,366,2167250811962076649231791600633179246067137733414886970070996141867630012110992987,29,6,42,11629
184,368,6501752435803711830015381493379514249884976872790719963401817236040664650585248161,29,6,42,11678
185,370,19505257307303038863810011532183003707402877881333098190348841462261450478332891507,29,6,42,11755
186,372,49625222977658148718394924284180182044462735704076456337831766995360169583022629200,29,7,47,11805
187,374,148875668932813535525022690411057594662852523306787817315010069844976327775873768000,29,7,47,11842
188,376,446627006798231571749520751825260033072262931520515203788566660620187990542972972800,29,7,47,11868
189,378,1339881020394423585944030039435304805965489644477751414032527428553935416460256840000,29,7,47,11974
190,380,4019643061182919629606437679945258377495574695414257402654560242681772694392543538944,29,7,47,12046
191,382,12058929183547967347627762658020748093691061453839391890144052812398227605548406317184,28,7,47,12115
192,384,36176787550643893610114620829388573895558818446165555852339891500775333063904757789225,28,7,47,12149
193,386,108530362651931670077096275125226644752042606158141598782057098676026306654691595395825,28,7,47,12189
194,388,277290010492850637898875547471564631864040629337684057899531821574420246445014160390234,29,8,52,12214
195,390,831870031478550855850981743644759971506472607189298489052286382533207841306123178166971,29,8,52,12276
196,392,2495610094435650228151899391997962264762579130943310370298733544180269579253908929618325,28,8,52,12313
197,394,7486830283306950661639669464508839327615591579345562313972508366764829934284830697406743,28,8,52,12385
198,396,22460490849920851956151605700792245345042022987207023373861608444854348889619052982735229,28,8,52,12466
199,398,57625556986229342510015870550512691772591036828996301489002160652008642572226448695169600,29,9,57,12466
200,400,172876670958688024586922735930619092736208643976449409999465451192523134773536636664099584,29,9,57,12497
